"","YAG","region","SECTIONNAME","trained_in_region","number_of_providers","subject_name","living_in_region","earnings_median","difference","difference_prop"
"1",1,"East Midlands","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",820,21,"All",690,14200,-130,-0.158536585365854
"2",1,"East Midlands","ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES",0,1,"All",NA,NA,NA,NA
"3",1,"East Midlands","ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS - UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE",15,8,"All",15,13500,0,0
"4",1,"East Midlands","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",1430,19,"All",905,18200,-525,-0.367132867132867
"5",1,"East Midlands","AGRICULTURE, FORESTRY AND FISHING",35,10,"All",45,15700,10,0.285714285714286
"6",1,"East Midlands","ARTS, ENTERTAINMENT AND RECREATION",430,17,"All",295,16100,-135,-0.313953488372093
"7",1,"East Midlands","CONSTRUCTION",340,13,"All",210,26100,-130,-0.382352941176471
"8",1,"East Midlands","EDUCATION",1740,21,"All",1560,19300,-180,-0.103448275862069
"9",1,"East Midlands","ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",80,11,"All",80,22100,0,0
"10",1,"East Midlands","FINANCIAL AND INSURANCE ACTIVITIES",855,14,"All",480,21500,-375,-0.43859649122807
"11",1,"East Midlands","HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",2865,23,"All",2780,23700,-85,-0.0296684118673647
"12",1,"East Midlands","INFORMATION AND COMMUNICATION",1215,19,"All",805,23000,-410,-0.337448559670782
"13",1,"East Midlands","MANUFACTURING",1085,17,"All",920,24800,-165,-0.152073732718894
"14",1,"East Midlands","MINING AND QUARRYING",10,5,"All",15,23500,5,0.5
"15",1,"East Midlands","OTHER SERVICE ACTIVITIES",240,13,"All",165,17900,-75,-0.3125
"16",1,"East Midlands","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",2385,16,"All",1400,21500,-985,-0.412997903563941
"17",1,"East Midlands","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",660,16,"All",515,22600,-145,-0.21969696969697
"18",1,"East Midlands","REAL ESTATE ACTIVITIES",195,11,"All",130,19200,-65,-0.333333333333333
"19",1,"East Midlands","TRANSPORTATION AND STORAGE",280,16,"All",235,23400,-45,-0.160714285714286
"20",1,"East Midlands","WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",60,9,"All",35,21900,-25,-0.416666666666667
"21",1,"East Midlands","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",2485,22,"All",1860,17200,-625,-0.251509054325956
"22",1,"East Midlands","NOT KNOWN",515,19,"All",365,16400,-150,-0.29126213592233
"23",1,"East of England","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",520,12,"All",790,14600,270,0.519230769230769
"24",1,"East of England","ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS - UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE",10,4,"All",25,16800,15,1.5
"25",1,"East of England","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",840,12,"All",1385,20800,545,0.648809523809524
"26",1,"East of England","AGRICULTURE, FORESTRY AND FISHING",15,7,"All",60,19300,45,3
"27",1,"East of England","ARTS, ENTERTAINMENT AND RECREATION",275,11,"All",430,16800,155,0.563636363636364
"28",1,"East of England","CONSTRUCTION",155,12,"All",325,27400,170,1.09677419354839
"29",1,"East of England","EDUCATION",1245,12,"All",2105,19000,860,0.690763052208835
"30",1,"East of England","ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",20,8,"All",40,23000,20,1
"31",1,"East of England","FINANCIAL AND INSURANCE ACTIVITIES",530,12,"All",1070,26600,540,1.0188679245283
"32",1,"East of England","HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",2955,12,"All",3300,24800,345,0.116751269035533
"33",1,"East of England","INFORMATION AND COMMUNICATION",755,13,"All",1315,23400,560,0.741721854304636
"34",1,"East of England","MANUFACTURING",315,12,"All",770,25200,455,1.44444444444444
"35",1,"East of England","MINING AND QUARRYING",0,1,"All",5,-10000,5,Inf
"36",1,"East of England","OTHER SERVICE ACTIVITIES",145,14,"All",270,20100,125,0.862068965517241
"37",1,"East of England","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1260,13,"All",2515,23400,1255,0.996031746031746
"38",1,"East of England","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",315,11,"All",665,24100,350,1.11111111111111
"39",1,"East of England","REAL ESTATE ACTIVITIES",125,11,"All",250,21200,125,1
"40",1,"East of England","TRANSPORTATION AND STORAGE",160,12,"All",285,23500,125,0.78125
"41",1,"East of England","WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",10,4,"All",40,22100,30,3
"42",1,"East of England","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",1255,13,"All",2235,17500,980,0.780876494023904
"43",1,"East of England","NOT KNOWN",295,12,"All",520,17900,225,0.76271186440678
"44",1,"London","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",1530,65,"All",1735,15600,205,0.133986928104575
"45",1,"London","ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES",0,1,"All",0,-10000,0,NA
"46",1,"London","ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS - UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE",40,18,"All",60,20800,20,0.5
"47",1,"London","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",2530,65,"All",3695,21200,1165,0.460474308300395
"48",1,"London","AGRICULTURE, FORESTRY AND FISHING",20,9,"All",10,-10000,-10,-0.5
"49",1,"London","ARTS, ENTERTAINMENT AND RECREATION",880,51,"All",1130,17200,250,0.284090909090909
"50",1,"London","CONSTRUCTION",420,37,"All",535,27000,115,0.273809523809524
"51",1,"London","EDUCATION",2595,61,"All",3030,20400,435,0.167630057803468
"52",1,"London","ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",35,17,"All",50,27200,15,0.428571428571429
"53",1,"London","FINANCIAL AND INSURANCE ACTIVITIES",1220,45,"All",2215,31000,995,0.815573770491803
"54",1,"London","HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",6025,63,"All",5680,27400,-345,-0.0572614107883817
"55",1,"London","INFORMATION AND COMMUNICATION",1990,47,"All",3335,24500,1345,0.675879396984925
"56",1,"London","MANUFACTURING",690,43,"All",715,23400,25,0.036231884057971
"57",1,"London","MINING AND QUARRYING",5,2,"All",5,-10000,0,0
"58",1,"London","OTHER SERVICE ACTIVITIES",390,40,"All",530,21900,140,0.358974358974359
"59",1,"London","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3360,62,"All",5420,24100,2060,0.613095238095238
"60",1,"London","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",760,45,"All",1060,26600,300,0.394736842105263
"61",1,"London","REAL ESTATE ACTIVITIES",445,42,"All",655,23400,210,0.471910112359551
"62",1,"London","TRANSPORTATION AND STORAGE",530,38,"All",690,23700,160,0.30188679245283
"63",1,"London","WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",35,15,"All",45,24100,10,0.285714285714286
"64",1,"London","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",3785,61,"All",4530,17500,745,0.196829590488771
"65",1,"London","NOT KNOWN",935,56,"All",1160,18200,225,0.240641711229947
"66",1,"North East","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",500,10,"All",440,14200,-60,-0.12
"67",1,"North East","ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS - UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE",10,4,"All",5,-10000,-5,-0.5
"68",1,"North East","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",800,10,"All",540,17200,-260,-0.325
"69",1,"North East","AGRICULTURE, FORESTRY AND FISHING",20,4,"All",10,15000,-10,-0.5
"70",1,"North East","ARTS, ENTERTAINMENT AND RECREATION",235,8,"All",155,14400,-80,-0.340425531914894
"71",1,"North East","CONSTRUCTION",145,6,"All",105,25600,-40,-0.275862068965517
"72",1,"North East","EDUCATION",885,10,"All",825,19000,-60,-0.0677966101694915
"73",1,"North East","ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",30,6,"All",20,26100,-10,-0.333333333333333
"74",1,"North East","FINANCIAL AND INSURANCE ACTIVITIES",505,9,"All",290,18800,-215,-0.425742574257426
"75",1,"North East","HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",2025,9,"All",1965,25200,-60,-0.0296296296296296
"76",1,"North East","INFORMATION AND COMMUNICATION",655,9,"All",375,20100,-280,-0.427480916030534
"77",1,"North East","MANUFACTURING",570,10,"All",425,25200,-145,-0.254385964912281
"78",1,"North East","MINING AND QUARRYING",5,2,"All",5,-10000,0,0
"79",1,"North East","OTHER SERVICE ACTIVITIES",95,7,"All",70,17200,-25,-0.263157894736842
"80",1,"North East","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1560,8,"All",775,20800,-785,-0.503205128205128
"81",1,"North East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",400,8,"All",205,21500,-195,-0.4875
"82",1,"North East","REAL ESTATE ACTIVITIES",120,7,"All",85,19300,-35,-0.291666666666667
"83",1,"North East","TRANSPORTATION AND STORAGE",145,7,"All",90,21200,-55,-0.379310344827586
"84",1,"North East","WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",20,4,"All",15,21000,-5,-0.25
"85",1,"North East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",1015,9,"All",765,14200,-250,-0.246305418719212
"86",1,"North East","NOT KNOWN",280,8,"All",205,15500,-75,-0.267857142857143
"87",1,"North West","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",1635,31,"All",1495,13900,-140,-0.0856269113149847
"88",1,"North West","ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS - UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE",30,14,"All",30,11000,0,0
"89",1,"North West","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",2095,34,"All",1965,17900,-130,-0.0620525059665871
"90",1,"North West","AGRICULTURE, FORESTRY AND FISHING",40,12,"All",35,18600,-5,-0.125
"91",1,"North West","ARTS, ENTERTAINMENT AND RECREATION",625,24,"All",555,15000,-70,-0.112
"92",1,"North West","CONSTRUCTION",410,24,"All",385,24100,-25,-0.0609756097560976
"93",1,"North West","EDUCATION",2605,36,"All",2270,18600,-335,-0.128598848368522
"94",1,"North West","ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",60,12,"All",55,23700,-5,-0.0833333333333333
"95",1,"North West","FINANCIAL AND INSURANCE ACTIVITIES",960,25,"All",945,20400,-15,-0.015625
"96",1,"North West","HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",5305,32,"All",5025,23700,-280,-0.0527803958529689
"97",1,"North West","INFORMATION AND COMMUNICATION",1335,25,"All",1195,21500,-140,-0.104868913857678
"98",1,"North West","MANUFACTURING",1100,22,"All",1020,23700,-80,-0.0727272727272727
"99",1,"North West","MINING AND QUARRYING",5,3,"All",5,-10000,0,0
"100",1,"North West","OTHER SERVICE ACTIVITIES",275,27,"All",250,17500,-25,-0.0909090909090909
"101",1,"North West","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",2590,30,"All",2545,20100,-45,-0.0173745173745174
"102",1,"North West","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",745,24,"All",660,21900,-85,-0.114093959731544
"103",1,"North West","REAL ESTATE ACTIVITIES",245,20,"All",265,19000,20,0.0816326530612245
"104",1,"North West","TRANSPORTATION AND STORAGE",380,25,"All",405,20100,25,0.0657894736842105
"105",1,"North West","WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",45,12,"All",25,21000,-20,-0.444444444444444
"106",1,"North West","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",3540,31,"All",3365,16400,-175,-0.0494350282485876
"107",1,"North West","NOT KNOWN",1025,28,"All",1095,19700,70,0.0682926829268293
"108",1,"South East","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",1555,34,"All",1270,14200,-285,-0.183279742765273
"109",1,"South East","ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES",5,1,"All",5,-10000,0,0
"110",1,"South East","ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS - UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE",50,16,"All",45,19700,-5,-0.1
"111",1,"South East","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",2365,34,"All",2190,20100,-175,-0.0739957716701903
"112",1,"South East","AGRICULTURE, FORESTRY AND FISHING",65,15,"All",65,16800,0,0
"113",1,"South East","ARTS, ENTERTAINMENT AND RECREATION",855,30,"All",780,17200,-75,-0.087719298245614
"114",1,"South East","CONSTRUCTION",440,27,"All",420,25900,-20,-0.0454545454545455
"115",1,"South East","EDUCATION",4385,42,"All",3125,20100,-1260,-0.287343215507412
"116",1,"South East","ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",95,19,"All",80,27000,-15,-0.157894736842105
"117",1,"South East","FINANCIAL AND INSURANCE ACTIVITIES",1800,30,"All",1500,25900,-300,-0.166666666666667
"118",1,"South East","HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",4865,39,"All",4815,24800,-50,-0.0102774922918808
"119",1,"South East","INFORMATION AND COMMUNICATION",2400,32,"All",2385,25200,-15,-0.00625
"120",1,"South East","MANUFACTURING",1295,28,"All",1220,25600,-75,-0.0579150579150579
"121",1,"South East","MINING AND QUARRYING",10,3,"All",5,-10000,-5,-0.5
"122",1,"South East","OTHER SERVICE ACTIVITIES",480,33,"All",400,19300,-80,-0.166666666666667
"123",1,"South East","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3830,36,"All",3920,23400,90,0.0234986945169713
"124",1,"South East","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",1440,26,"All",1120,24100,-320,-0.222222222222222
"125",1,"South East","REAL ESTATE ACTIVITIES",425,26,"All",285,22300,-140,-0.329411764705882
"126",1,"South East","TRANSPORTATION AND STORAGE",640,27,"All",505,23700,-135,-0.2109375
"127",1,"South East","WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",70,15,"All",85,23400,15,0.214285714285714
"128",1,"South East","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",3700,39,"All",3380,17900,-320,-0.0864864864864865
"129",1,"South East","NOT KNOWN",1020,34,"All",745,17900,-275,-0.269607843137255
"130",1,"South West","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",1170,24,"All",1035,13900,-135,-0.115384615384615
"131",1,"South West","ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES",0,1,"All",NA,NA,NA,NA
"132",1,"South West","ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS - UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE",45,9,"All",20,13700,-25,-0.555555555555556
"133",1,"South West","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",1410,24,"All",1025,18200,-385,-0.273049645390071
"134",1,"South West","AGRICULTURE, FORESTRY AND FISHING",75,12,"All",55,18200,-20,-0.266666666666667
"135",1,"South West","ARTS, ENTERTAINMENT AND RECREATION",555,21,"All",410,15300,-145,-0.261261261261261
"136",1,"South West","CONSTRUCTION",250,16,"All",185,24500,-65,-0.26
"137",1,"South West","EDUCATION",1595,26,"All",1675,18200,80,0.0501567398119122
"138",1,"South West","ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",70,9,"All",65,21900,-5,-0.0714285714285714
"139",1,"South West","FINANCIAL AND INSURANCE ACTIVITIES",1025,22,"All",610,22600,-415,-0.404878048780488
"140",1,"South West","HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",2900,27,"All",3130,24100,230,0.0793103448275862
"141",1,"South West","INFORMATION AND COMMUNICATION",1495,21,"All",925,23400,-570,-0.381270903010033
"142",1,"South West","MANUFACTURING",830,22,"All",820,25200,-10,-0.0120481927710843
"143",1,"South West","MINING AND QUARRYING",15,8,"All",15,23700,0,0
"144",1,"South West","OTHER SERVICE ACTIVITIES",285,22,"All",250,18100,-35,-0.12280701754386
"145",1,"South West","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",2990,23,"All",1860,21900,-1130,-0.377926421404682
"146",1,"South West","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",615,21,"All",655,24100,40,0.0650406504065041
"147",1,"South West","REAL ESTATE ACTIVITIES",205,16,"All",150,21200,-55,-0.268292682926829
"148",1,"South West","TRANSPORTATION AND STORAGE",215,16,"All",165,20800,-50,-0.232558139534884
"149",1,"South West","WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",55,11,"All",45,23400,-10,-0.181818181818182
"150",1,"South West","WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",2165,27,"All",1830,16100,-335,-0.15473441108545
"151",1,"South West","NOT KNOWN",520,24,"All",430,16800,-90,-0.173076923076923
"152",1,"West Midlands","ACCOMMODATION AND FOOD SERVICE ACTIVITIES",710,18,"All",820,13900,110,0.154929577464789
"153",1,"West Midlands","ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES",0,1,"All",0,-10000,0,NA
"154",1,"West Midlands","ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS - UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE",15,9,"All",15,12400,0,0
"155",1,"West Midlands","ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",1415,20,"All",1295,17900,-120,-0.0848056537102474
"156",1,"West Midlands","AGRICULTURE, FORESTRY AND FISHING",75,9,"All",40,18200,-35,-0.466666666666667
"157",1,"West Midlands","ARTS, ENTERTAINMENT AND RECREATION",390,16,"All",440,16400,50,0.128205128205128
"158",1,"West Midlands","CONSTRUCTION",245,16,"All",245,25900,0,0
"159",1,"West Midlands","EDUCATION",1905,19,"All",2070,19300,165,0.0866141732283465
"160",1,"West Midlands","ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",75,13,"All",80,23500,5,0.0666666666666667
"161",1,"West Midlands","FINANCIAL AND INSURANCE ACTIVITIES",900,15,"All",670,20800,-230,-0.255555555555556
"162",1,"West Midlands","HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",3940,22,"All",3635,23700,-305,-0.0774111675126904
"163",1,"West Midlands","INFORMATION AND COMMUNICATION",1200,15,"All",905,23000,-295,-0.245833333333333
"164",1,"West Midlands","MANUFACTURING",920,19,"All",935,25600,15,0.016304347826087
"165",1,"West Midlands","MINING AND QUARRYING",5,5,"All",NA,NA,NA,NA
"166",1,"West Midlands","OTHER SERVICE ACTIVITIES",255,19,"All",240,18600,-15,-0.0588235294117647
"167",1,"West Midlands","PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",2060,18,"All",1790,21500,-270,-0.131067961165049
"168",1,"West Midlands","PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",610,15,"All",455,22600,-155,-0.254098360655738
"169",1,"West Midlands","REAL ESTATE ACTIVITIES",190,14,"All",155,19700,-35,-0.184210526315789
"170",1,"West Midlands","TRANSPORTATION AND STORAGE",325,15,"All",315,20400,-10,-0.0307692307692308
"171",1,"West Midlands","WATER SUPPLY - SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",60,11,"All",65,20400,5,0.0833333333333333
