,sex.x,subject_name,YAG.x,SECTIONNAME.x,YAG.y,SECTIONNAME.y,count,qualification_TR.x
1,F,Nursing and midwifery,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,10185,First degree
2,F,Education and teaching,1,EDUCATION,3,EDUCATION,4250,First degree
3,F,Allied health,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,2165,First degree
4,F,Creative arts and design,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,1990,First degree
5,M,Computing,1,INFORMATION AND COMMUNICATION,3,INFORMATION AND COMMUNICATION,1865,First degree
6,F,Medicine and dentistry,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,1780,First degree
7,M,Engineering,1,MANUFACTURING,3,MANUFACTURING,1615,First degree
8,M,Medicine and dentistry,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,1445,First degree
9,M,Engineering,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1320,First degree
10,F,Business and management,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,1260,First degree
11,M,Business and management,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1160,First degree
12,M,Business and management,1,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,3,WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,1085,First degree
13,F,Business and management,1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1085,First degree
14,F,Health and social care,1,EDUCATION,3,EDUCATION,910,First degree
15,M,Business and management,1,FINANCIAL AND INSURANCE ACTIVITIES,3,FINANCIAL AND INSURANCE ACTIVITIES,900,First degree
16,F,Education and teaching,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,885,First degree
17,M,Nursing and midwifery,1,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,3,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,830,First degree
