"","sex.x","subject_name","YAG.x","SECTIONNAME.x","YAG.y","SECTIONNAME.y","count","qualification_TR.x"
"1","F","Nursing and midwifery",1,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",8990,"First degree"
"2","F","Education and teaching",1,"EDUCATION",3,"EDUCATION",4645,"First degree"
"3","F","Allied health",1,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",2080,"First degree"
"4","F","Creative arts and design",1,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",2045,"First degree"
"5","F","Medicine and dentistry",1,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",1965,"First degree"
"6","M","Engineering",1,"MANUFACTURING",3,"MANUFACTURING",1675,"First degree"
"7","M","Computing",1,"INFORMATION AND COMMUNICATION",3,"INFORMATION AND COMMUNICATION",1525,"First degree"
"8","M","Medicine and dentistry",1,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",1455,"First degree"
"9","M","Business and management",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1265,"First degree"
"10","M","Engineering",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1260,"First degree"
"11","F","Business and management",1,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",1260,"First degree"
"12","F","Business and management",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1145,"First degree"
"13","F","Health and social care",1,"EDUCATION",3,"EDUCATION",1035,"First degree"
"14","M","Business and management",1,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",1025,"First degree"
"15","F","Education and teaching",1,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",905,"First degree"
"16","M","Business and management",1,"FINANCIAL AND INSURANCE ACTIVITIES",3,"FINANCIAL AND INSURANCE ACTIVITIES",850,"First degree"
"17","F","Law",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",760,"First degree"
"18","M","Nursing and midwifery",1,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",705,"First degree"
"19","M","Business and management",1,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",665,"First degree"
"20","F","Health and social care",1,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",645,"First degree"
"21","F","Psychology",1,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",630,"First degree"
"22","M","Architecture, building and planning",1,"CONSTRUCTION",3,"CONSTRUCTION",600,"First degree"
"23","M","Creative arts and design",1,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",600,"First degree"
"24","F","Medical sciences",1,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",585,"First degree"
"25","F","Business and management",1,"FINANCIAL AND INSURANCE ACTIVITIES",3,"FINANCIAL AND INSURANCE ACTIVITIES",580,"First degree"
"26","F","Business and management",1,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",3,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",575,"First degree"
"27","F","Creative arts and design",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",555,"First degree"
"28","M","Education and teaching",1,"EDUCATION",3,"EDUCATION",540,"First degree"
"29","M","Business and management",1,"INFORMATION AND COMMUNICATION",3,"INFORMATION AND COMMUNICATION",535,"First degree"
"30","F","English studies",1,"EDUCATION",3,"EDUCATION",520,"First degree"
"31","F","Psychology",1,"EDUCATION",3,"EDUCATION",500,"First degree"
"32","M","Allied health",1,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",500,"First degree"
"33","M","Economics",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",475,"First degree"
"34","M","Economics",1,"FINANCIAL AND INSURANCE ACTIVITIES",3,"FINANCIAL AND INSURANCE ACTIVITIES",470,"First degree"
"35","F","Sociology, social policy and anthropology",1,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",455,"First degree"
"36","M","Architecture, building and planning",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",450,"First degree"
"37","F","Business and management",1,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",445,"First degree"
"38","M","Business and management",1,"MANUFACTURING",3,"MANUFACTURING",435,"First degree"
"39","F","Business and management",1,"INFORMATION AND COMMUNICATION",3,"INFORMATION AND COMMUNICATION",430,"First degree"
"40","M","Computing",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",420,"First degree"
"41","M","Computing",1,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",420,"First degree"
"42","F","Sociology, social policy and anthropology",1,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",3,"PUBLIC ADMINISTRATION AND DEFENCE - COMPULSORY SOCIAL SECURITY",420,"First degree"
"43","F","Business and management",1,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",3,"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES",390,"First degree"
"44","F","Creative arts and design",1,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES",375,"First degree"
"45","M","Creative arts and design",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",370,"First degree"
"46","M","Mathematical sciences",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",365,"First degree"
"47","F","Sociology, social policy and anthropology",1,"EDUCATION",3,"EDUCATION",365,"First degree"
"48","M","Engineering",1,"CONSTRUCTION",3,"CONSTRUCTION",355,"First degree"
"49","M","Law",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",355,"First degree"
"50","F","Media, journalism and communications",1,"INFORMATION AND COMMUNICATION",3,"INFORMATION AND COMMUNICATION",345,"First degree"
"51","M","Sport and exercise sciences",1,"EDUCATION",3,"EDUCATION",340,"First degree"
"52","M","Creative arts and design",1,"INFORMATION AND COMMUNICATION",3,"INFORMATION AND COMMUNICATION",340,"First degree"
"53","F","English studies",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",335,"First degree"
"54","M","Mathematical sciences",1,"FINANCIAL AND INSURANCE ACTIVITIES",3,"FINANCIAL AND INSURANCE ACTIVITIES",330,"First degree"
"55","F","Business and management",1,"EDUCATION",3,"EDUCATION",320,"First degree"
"56","F","Veterinary sciences",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",320,"First degree"
"57","F","English studies",1,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",320,"First degree"
"58","F","Creative arts and design",1,"INFORMATION AND COMMUNICATION",3,"INFORMATION AND COMMUNICATION",320,"First degree"
"59","F","Combined and general studies",1,"EDUCATION",3,"EDUCATION",315,"First degree"
"60","M","Media, journalism and communications",1,"INFORMATION AND COMMUNICATION",3,"INFORMATION AND COMMUNICATION",315,"First degree"
"61","M","Engineering",1,"INFORMATION AND COMMUNICATION",3,"INFORMATION AND COMMUNICATION",315,"First degree"
"62","F","Performing arts",1,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",3,"WHOLESALE AND RETAIL TRADE - REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",310,"First degree"
"63","M","Geography, earth and environmental studies",1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",310,"First degree"
"64","F","Business and management",1,"MANUFACTURING",3,"MANUFACTURING",310,"First degree"
